Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
Preprocess,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,91,0,0,100,0,0,1,0.002625,0.01134,0.775777,2.760467,110.586637,0.535012,110.051624,1.215238,0.005879,1.209359,110.051624,1.209359,99.516205,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.003,0.001,0.015625,0,15.625,0,13388,124051,21685,100,34.065934,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,91,0,0,100,0,0,1,0.002625,0.01134,0.775777,2.760467,110.586637,0.535012,110.051624,1.215238,0.005879,1.209359,110.051624,1.209359,99.516205,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.002,0,0,0,0,0,13388,124051,21685,100,34.065934,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,88,3,0,96.703297,3.296703,0,0.933039,0.02484,0.136046,7.340771,33.118471,110.586637,3222.583864,-3111.997228,1.215238,35.413009,-34.197772,101.633069,1.116847,91.903572,1,58,0.090909,3,0.909091,30,0,0,0.95082,1,0.97479,0.929721,0.999739,0.999708,0.967033,0.057942,0.942058,0.032967,0.968654,0.967033,0.966586,0.933744,0.981801,0.973971,0.952622,0.967033,0.003,0,0,0,0,0,14196,124051,21685,96.703297,35.164835,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
Preprocess,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,89,2,0,97.802198,2.197802,0,0.956584,0.0163,0.120955,4.817035,29.444681,110.586637,2148.33813,-2037.751494,1.215238,23.608111,-22.392874,104.165296,1.144674,94.193385,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.978022,0.005311,0.994689,0.021978,0.978022,0.978022,0.978022,0.972711,0.986205,0.962021,0.93956,0.978022,0.002,0,0,0,0,0,13388,124051,21685,97.802198,34.065934,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,87,4,0,95.604396,4.395604,0,0.915486,0.030049,0.170864,8.880003,41.594483,110.586637,4296.147972,-4185.561336,1.215238,47.210417,-45.99518,100.318625,1.102402,90.714962,0.948276,55,0,0,1,33,0.051724,3,1,0.948276,0.973451,0.932337,0.974138,0.981243,0.956044,0.010623,0.989377,0.043956,0.960361,0.956044,0.957112,0.925612,0.972318,0.94101,0.912138,0.956044,0.003,0,0,0,0,0,14196,124051,21685,95.604396,33.333333,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
Preprocess,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,91,0,0,100,0,0,1,0.001709,0.006537,0.505157,1.59139,110.586637,0.342367,110.244269,1.215238,0.003762,1.211475,110.244269,1.211475,99.690408,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.002,0,0,0,0,0,13388,124051,21685,100,33.333333,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.97839,0.012053,0.085703,3.561874,20.863099,110.586637,6.916435,103.670202,1.215238,0.076005,1.139233,107.314847,1.179284,97.041424,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.98927,0.986923,0.998443,0.987332,0.971242,0.989011,0.002,0,0,0,0,0,13388,124051,21685,98.901099,35.531136,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,817,91,90,1,0,98.901099,1.098901,0,0.978708,0.012053,0.085703,3.538146,20.707114,111.733776,6.916435,104.817341,1.227844,0.076005,1.151839,108.458329,1.19185,97.068525,1,57,0,0,1,34,0,0,1,1,1,1,1,1,0.989011,0.000916,0.999084,0.010989,0.990385,0.989011,0.989274,0.986808,0.998426,0.987415,0.971488,0.989011,0.002,0,0,0,0,0,13388,124051,21685,98.901099,35.531136,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8
Preprocess,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,818,90,87,3,0,96.666667,3.333333,0,0.935049,0.022963,0.143063,6.767263,34.718814,109.929783,3222.145485,-3112.215703,1.221442,35.801617,-34.580174,101.768933,1.130766,92.576307,0.964912,55,0.030303,1,0.969697,32,0.035088,2,0.982143,0.964912,0.973451,0.928947,0.967305,0.969904,0.966667,0.024643,0.975357,0.033333,0.96688,0.966667,0.966624,0.935328,0.973202,0.961168,0.937242,0.966667,0.003,0,0.015625,0,15.625,0,13792,124192,21544,96.666667,33.703704,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9
Preprocess,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20201213.0356,818,90,88,2,0,97.777778,2.222222,0,0.956574,0.017579,0.117887,5.180489,28.609041,109.929783,1079.554605,-969.624822,1.221442,11.995051,-10.773609,104.98062,1.166451,95.497888,0.982456,56,0.030303,1,0.969697,32,0.017544,1,0.982456,0.982456,0.982456,0.952153,0.997342,0.997533,0.977778,0.020129,0.979871,0.022222,0.979167,0.977778,0.978039,0.956436,0.991598,0.980814,0.965394,0.977778,0.002,0,0,0,0,0,12984,124192,21544,97.777778,34.074074,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
